120	139	245	120	83	31	54	213	29	167	2	67108864
179	58	53	120	83	31	33	131	139	126	2	67108864
197	40	53	124	102	152	23	135	216	172	2	0
15	40	245	253	83	31	33	213	216	213	2	0
54	87	246	120	83	152	54	64	60	167	2	0
54	87	245	98	83	231	23	135	29	213	2	0
54	87	141	253	83	67	197	135	60	167	2	0
197	40	141	124	102	67	197	213	29	213	2	0
7	48	209	124	216	203	54	72	43	221	2	2048
179	40	137	245	7	138	54	72	13	100	2	0
7	58	231	245	7	203	107	235	156	132	2	16
51	6	137	124	7	231	107	135	128	173	2	0
159	40	246	63	54	206	33	135	128	145	2	131072
159	223	209	97	54	138	23	74	156	173	2	0
112	48	209	97	216	231	33	235	156	145	2	0
7	223	231	97	7	138	107	208	156	132	2	0
51	40	231	124	54	31	194	235	182	145	2	0
112	223	231	63	7	206	54	74	156	173	2	0
120	6	147	124	47	250	33	76	108	213	2	0
139	223	231	126	54	166	49	0	139	126	2	0
23	11	216	124	56	31	17	187	13	37	2	0
34	223	39	54	83	166	33	208	139	213	2	0
34	58	216	124	83	31	146	0	13	204	2	0
34	11	212	253	47	144	33	208	108	238	2	64
34	58	147	126	83	31	146	0	153	213	2	0
34	6	231	54	56	31	33	0	108	126	2	67108864
23	48	212	124	83	144	146	208	108	37	2	64
34	48	231	124	83	203	33	208	139	126	2	0
54	74	216	59	7	144	81	187	17	143	2	0
179	58	216	59	152	231	128	195	44	229	2	0
88	114	137	104	90	234	128	195	44	143	2	0
23	23	231	59	90	231	89	132	146	126	2	67108928
179	74	246	125	152	231	81	208	44	229	2	0
54	23	103	125	54	250	32	195	13	126	2	0
54	158	137	120	152	20	128	132	13	126	2	0
54	58	103	104	7	250	128	1	13	229	2	8192
54	74	216	120	54	250	32	132	154	172	2	0
88	114	216	120	88	20	32	132	154	210	2	0
179	11	246	60	88	154	121	152	219	126	2	0
120	223	216	112	88	161	146	135	219	241	2	0
173	6	216	112	143	239	121	135	143	204	2	0
179	58	165	43	143	231	16	135	13	204	2	2147483647
173	11	165	60	143	231	23	64	13	245	2	0
179	115	216	112	88	31	54	64	146	245	2	0
87	58	165	43	54	31	146	135	143	241	2	0
87	115	137	120	56	239	54	135	61	241	2	0
120	223	137	93	88	239	16	32	146	126	2	0
179	223	137	120	88	31	23	152	219	245	2	0
55	6	231	93	7	20	36	187	130	167	2	0
242	59	243	95	90	203	90	187	205	213	2	0
23	6	216	60	90	238	23	187	163	255	2	0
213	205	216	80	90	20	36	0	130	229	2	4194304
242	205	243	95	7	20	23	160	130	213	2	0
242	25	103	60	88	203	90	197	205	204	2	128
213	48	216	60	88	203	224	160	221	213	2	0
213	25	243	44	7	144	23	197	221	255	2	0
23	48	103	95	126	250	23	160	221	204	2	0
55	25	8	95	90	20	36	0	221	204	2	0
179	223	246	55	186	203	89	187	204	126	2	33554432
7	18	246	120	186	122	84	208	146	245	2	1073741824
149	187	236	120	83	122	84	208	153	135	2	0
115	187	236	124	83	122	178	147	137	245	2	0
149	187	214	55	178	203	193	187	146	135	2	0
179	6	236	241	186	254	33	208	13	135	2	0
115	48	246	120	178	203	178	0	204	245	2	0
115	18	246	124	186	203	178	67	137	172	2	0
23	187	137	55	83	144	178	187	13	229	2	0
179	223	36	241	186	122	89	67	146	126	2	67108864
29	144	36	124	36	243	120	163	139	196	2	1073741824
54	223	204	253	47	203	33	4	44	213	2	0
29	223	144	80	83	31	196	204	13	228	2	0
54	223	245	120	83	249	196	178	44	59	2	0
60	11	36	120	47	177	196	204	139	213	2	0
60	144	36	120	83	249	120	4	139	226	2	0
60	223	204	80	83	177	54	204	17	226	2	0
54	6	246	120	36	203	120	163	139	226	2	0
179	40	204	80	0	203	33	204	146	228	2	0
29	6	204	120	0	31	196	163	146	196	2	0
184	78	201	120	7	250	219	72	13	95	2	0
184	35	202	197	7	119	113	72	8	95	2	16777216
23	55	202	126	83	119	219	50	163	157	2	0
240	78	201	120	83	203	113	135	13	166	2	0
149	35	201	120	54	144	89	50	163	157	2	1048576
44	78	202	13	56	119	219	50	141	95	2	2048
149	199	36	104	83	203	219	72	8	166	2	0
240	35	201	126	56	31	89	50	176	166	2	4096
23	117	202	126	83	203	219	50	176	95	2	32768
44	117	246	104	7	31	113	191	163	166	2	0
154	35	36	126	83	203	64	81	24	229	2	0
23	31	244	136	56	136	81	225	24	172	2	2147483647
62	117	202	110	71	31	113	191	231	167	2	0
210	222	227	136	56	31	113	81	231	157	2	0
