174	3	227	212	88	233	36	44	2	0
174	250	227	212	4	233	55	230	2	1073741824
120	250	168	139	88	209	55	44	2	0
97	72	227	143	194	135	14	118	2	0
120	121	227	139	165	151	8	205	2	16777216
97	3	204	143	165	233	238	219	2	8388608
174	121	204	197	194	209	8	205	2	33554432
97	67	189	139	88	38	55	118	2	0
97	72	189	139	194	233	14	205	2	0
252	163	138	246	155	151	12	83	2	0
174	163	172	246	4	150	78	83	2	0
174	193	203	155	74	233	196	249	2	0
89	163	73	7	155	233	78	249	2	0
120	104	138	137	179	151	78	249	2	0
89	104	63	246	179	150	196	108	2	65536
174	104	63	201	155	139	78	118	2	0
140	125	63	246	179	150	191	42	2	1024
89	250	73	155	74	150	78	108	2	67108864
120	250	73	7	4	225	12	108	2	0
172	249	209	149	131	232	127	166	2	0
29	255	157	75	131	244	74	83	2	0
172	249	121	201	131	232	127	166	2	16
96	255	209	129	131	22	127	166	2	0
172	255	63	68	131	30	127	102	2	0
29	163	121	129	131	232	14	83	2	0
64	249	121	75	165	232	55	83	2	16385
29	163	63	75	88	153	55	83	2	0
29	249	121	201	204	244	6	83	2	0
64	167	63	201	131	30	127	42	2	2
16	131	217	143	4	233	55	205	2	0
16	74	217	129	234	181	14	42	2	0
16	131	217	129	19	146	36	22	2	0
120	121	63	77	88	146	110	42	2	0
120	241	1	129	88	181	36	42	2	0
16	163	217	68	19	210	110	102	2	0
29	241	149	129	234	150	55	102	2	1
191	121	217	143	39	181	30	102	2	0
29	163	149	150	4	146	36	22	2	0
45	163	168	129	19	181	55	205	2	0
136	121	73	200	4	164	78	13	2	2
136	191	23	200	131	166	55	83	2	2
57	121	217	68	232	9	36	47	2	0
174	122	73	68	232	21	78	83	2	0
57	121	73	200	96	9	13	83	2	0
64	136	217	129	232	166	13	13	2	0
110	191	156	143	131	9	74	102	2	0
174	121	73	200	165	233	36	111	2	33554432
174	121	23	68	96	164	36	83	2	1073741824
110	191	156	129	232	21	74	102	2	0
29	192	64	112	131	150	113	102	2	0
120	154	64	129	232	150	36	205	2	0
29	154	156	129	196	164	23	215	2	0
64	39	107	142	89	233	78	205	2	524288
166	192	107	129	230	233	36	102	2	4
166	154	156	142	230	164	23	102	2	0
184	121	156	112	131	131	23	205	2	0
29	192	107	201	131	150	78	102	2	134217728
166	39	156	201	230	233	113	102	2	0
29	39	64	129	232	153	113	205	2	0
172	72	156	68	60	150	36	205	2	0
74	72	156	143	163	150	36	205	2	33554432
174	132	75	68	203	180	36	101	2	0
5	163	75	68	240	233	36	211	2	0
5	72	46	215	203	180	55	101	2	0
125	72	156	129	240	180	36	102	2	0
174	132	168	129	60	27	55	205	2	2048
5	163	75	215	240	27	82	42	2	67108864
5	72	46	129	8	27	55	211	2	1048576
74	163	75	215	240	27	14	211	2	4
172	51	43	84	131	164	140	102	2	0
1	131	43	84	232	146	140	96	2	0
172	131	66	197	131	146	74	96	2	0
29	250	66	84	173	151	74	83	2	0
29	121	184	143	4	151	37	96	2	0
1	250	203	197	88	154	32	102	2	0
1	250	203	150	131	146	74	83	2	0
1	250	203	84	131	154	74	102	2	0
174	51	43	143	131	146	90	102	2	67108864
29	121	184	197	4	154	140	96	2	268435520
114	251	140	221	88	164	74	102	2	147456
114	72	140	143	165	164	74	102	2	0
64	135	140	129	197	131	55	99	2	0
172	251	172	221	165	233	74	255	2	0
114	162	227	84	197	164	78	83	2	0
114	251	140	143	232	131	78	83	2	0
64	162	172	143	165	131	143	255	2	0
29	250	172	150	197	131	36	102	2	0
29	135	227	84	165	164	36	42	2	524288
114	72	227	143	232	233	143	42	2	0
