66	192	200	230	92	94	115	133	84	51	56	5	173	139	96	75	2	0
163	117	150	162	228	94	115	47	197	121	40	223	162	43	222	75	2	0
66	242	200	162	119	195	205	226	210	71	40	223	90	7	222	75	2	0
142	144	177	230	250	142	180	133	210	71	223	164	162	139	29	75	2	0
15	242	86	135	119	3	73	161	197	205	223	5	162	43	222	185	2	0
15	144	220	162	119	142	73	226	219	121	56	164	90	7	38	75	2	512
90	186	16	39	79	3	67	132	177	93	88	154	57	169	96	76	2	0
223	202	142	32	228	14	67	183	208	17	231	240	171	138	96	192	2	0
223	30	157	39	228	3	73	132	207	17	216	154	171	119	58	25	2	0
90	226	16	32	24	14	173	239	197	186	88	154	171	232	194	99	2	1050624
13	226	114	39	184	142	173	38	83	186	40	150	222	3	58	25	2	8
90	186	142	233	24	94	90	38	177	65	25	150	222	232	96	225	2	0
164	202	142	40	184	142	90	38	177	65	25	150	23	119	96	225	2	0
164	30	16	167	228	94	173	183	83	17	216	5	162	119	52	25	2	0
90	30	142	40	79	14	90	38	83	186	88	5	23	169	194	99	2	0
164	226	16	167	24	3	90	195	207	93	231	87	162	119	194	192	2	1048576
66	82	17	39	156	3	91	145	197	115	236	154	51	103	48	99	2	524800
30	183	86	39	113	85	243	47	179	93	126	154	173	242	185	99	2	0
154	82	169	32	156	85	88	226	51	93	126	154	173	200	48	25	2	524296
4	126	164	193	210	85	243	226	197	93	126	154	51	200	44	201	2	0
30	155	86	193	210	134	91	161	84	186	0	151	51	7	185	99	2	0
4	82	17	193	113	134	173	226	84	65	236	87	247	242	194	25	2	0
154	155	17	230	24	85	173	226	84	65	126	151	51	103	186	25	2	0
30	183	169	230	239	3	88	161	84	65	0	156	173	103	44	99	2	2147483647
164	183	164	32	156	195	173	178	84	65	0	5	51	103	185	99	2	34816
30	183	150	32	210	3	88	161	84	93	0	156	222	242	185	25	2	0
16	155	2	197	216	27	47	166	83	162	44	151	173	35	34	214	2	0
91	155	157	197	228	0	149	210	180	201	44	158	222	43	160	214	2	0
91	195	150	32	228	201	149	166	85	41	209	5	127	35	34	75	2	0
154	247	150	106	228	27	47	108	83	217	111	202	162	139	44	25	2	0
16	155	21	106	90	201	15	210	100	162	44	5	162	35	128	25	2	0
91	195	21	135	90	108	75	210	219	201	12	158	187	139	44	75	2	8388608
156	155	21	212	228	27	149	210	83	162	12	5	187	139	128	214	2	0
16	59	150	212	107	108	203	108	83	162	56	247	127	0	128	214	2	8192
16	82	2	106	228	201	203	210	85	139	56	5	162	43	44	75	2	0
16	195	21	135	107	201	149	161	100	139	111	247	173	0	59	25	2	262144
4	145	150	39	24	28	47	226	83	212	75	154	169	11	96	8	2	1
92	242	150	32	172	195	47	226	83	187	194	247	169	82	57	99	2	520
36	242	195	110	172	70	180	226	197	101	56	154	239	11	59	8	2	0
36	202	157	110	119	70	75	226	123	212	56	49	239	98	59	65	2	16384
92	242	17	110	250	143	73	133	123	255	75	49	247	75	44	8	2	524288
4	123	17	110	156	143	47	182	84	187	56	147	247	98	59	65	2	0
4	123	17	104	156	70	75	11	123	86	194	147	247	98	57	8	2	16512
66	242	150	104	172	54	203	11	83	187	56	154	247	11	57	99	2	0
92	123	150	32	24	143	47	226	123	187	194	49	63	98	44	128	2	0
220	145	17	110	156	54	75	133	123	101	56	247	170	82	96	99	2	0
72	49	235	79	156	23	203	246	183	119	56	139	246	27	59	128	2	8192
133	136	235	79	118	134	89	182	183	32	56	114	247	122	46	65	2	0
254	136	235	39	156	23	203	11	83	212	56	114	53	143	194	128	2	0
133	49	53	35	118	23	73	11	123	32	198	114	53	143	59	99	2	0
45	81	154	39	224	134	7	182	83	212	8	147	246	143	57	99	2	0
133	49	27	39	118	143	203	182	123	32	56	150	246	98	194	127	2	0
188	251	157	35	172	60	168	11	183	185	99	114	170	98	35	99	2	0
188	49	235	65	172	5	203	144	197	32	99	114	246	98	57	99	2	0
45	81	53	35	118	23	203	246	123	212	99	139	247	27	35	65	2	0
188	81	157	39	118	60	168	246	183	185	56	139	161	143	35	99	2	0
66	242	195	110	113	102	29	225	123	254	56	207	247	75	174	127	2	16777216
92	123	219	69	136	7	176	133	183	110	75	151	239	75	196	129	2	0
92	123	119	69	44	3	27	194	22	254	56	151	170	75	249	129	2	0
66	20	219	32	250	3	176	245	183	110	56	49	239	75	249	127	2	0
66	242	219	233	136	7	176	225	22	187	194	49	170	11	66	129	2	0
4	20	150	110	136	7	73	225	123	254	40	49	232	75	33	127	2	262144
4	123	119	32	136	7	29	133	183	254	75	151	239	75	66	128	2	0
66	20	195	233	44	7	211	11	197	212	56	146	63	11	249	87	2	134217728
66	242	119	110	250	7	27	245	183	110	40	147	239	75	33	87	2	0
92	145	150	39	113	3	211	194	22	254	59	147	239	98	249	128	2	0
220	90	118	5	26	70	47	230	183	255	56	247	234	98	44	20	2	0
220	123	29	15	172	195	180	47	197	137	15	49	57	82	57	255	2	0
52	8	118	15	26	139	203	226	183	86	15	247	239	98	194	255	2	0
52	123	111	5	26	31	73	161	197	86	170	183	234	98	0	255	2	268435456
52	123	111	15	246	31	111	47	123	99	170	247	188	77	194	255	2	0
4	90	17	32	172	70	111	230	123	224	56	18	239	82	44	255	2	0
92	242	17	92	24	139	203	230	102	224	56	143	57	98	59	255	2	32
92	242	29	108	28	54	47	161	197	224	15	18	57	27	59	20	2	16
52	145	17	15	26	195	203	47	183	137	56	183	188	27	44	20	2	134217728
92	123	29	92	24	54	73	226	69	99	56	247	57	11	57	121	2	0
71	145	116	74	228	114	180	165	83	101	47	202	63	89	212	226	2	0
66	145	17	109	250	131	107	165	201	86	98	202	247	27	96	127	2	0
222	248	150	109	158	114	173	176	201	101	41	49	247	27	45	226	2	0
71	145	157	74	250	131	74	176	106	187	33	49	182	98	96	226	2	0
222	123	150	109	250	131	107	176	201	111	75	150	139	67	96	200	2	0
165	242	17	109	24	194	173	165	231	111	75	150	175	89	212	226	2	65536
165	145	157	104	228	194	107	176	78	86	33	247	247	67	96	8	2	0
222	145	157	109	158	131	173	11	78	187	47	49	139	98	57	200	2	524296
66	20	150	74	119	143	67	11	231	212	33	202	63	98	96	226	2	0
222	248	195	166	158	194	107	176	83	86	75	147	139	27	212	8	2	16
89	248	17	104	72	28	73	157	84	101	40	211	179	122	59	8	2	0
4	176	23	6	72	195	227	211	191	86	40	154	47	122	59	251	2	0
162	248	23	74	103	190	75	161	84	212	25	154	179	242	63	251	2	0
162	20	150	85	72	28	227	157	105	101	25	154	47	122	44	138	2	0
4	176	23	32	172	28	20	157	3	212	75	147	179	57	63	34	2	0
228	146	17	6	72	70	75	11	191	187	40	154	179	27	59	251	2	0
89	176	189	6	255	70	20	211	197	101	40	21	179	57	63	8	2	2048
89	146	23	74	172	207	47	157	105	187	75	21	47	122	34	65	2	0
4	146	23	74	172	207	47	161	3	187	135	211	129	242	59	65	2	0
89	20	195	104	103	195	73	211	3	255	25	211	179	27	44	251	2	0
3	129	157	32	156	195	47	161	84	101	56	210	63	27	127	99	2	512
220	123	157	38	250	195	203	41	83	209	28	147	215	82	50	64	2	0
92	242	150	86	14	70	203	161	84	187	28	247	215	234	96	127	2	0
71	20	51	32	250	54	47	130	5	255	56	147	169	234	50	64	2	0
220	123	157	104	14	155	203	226	183	19	194	210	63	27	44	65	2	0
52	205	157	38	250	70	228	41	83	101	28	147	63	234	96	65	2	2147483647
220	123	150	86	119	70	47	130	183	101	194	147	172	27	127	99	2	131072
3	20	51	86	156	195	75	41	83	101	56	247	215	11	127	65	2	269090816
92	123	150	38	119	155	203	182	61	255	194	147	172	27	127	64	2	0
3	129	150	86	156	155	75	182	83	19	14	147	215	64	96	99	2	0
6	208	140	65	24	54	75	254	23	86	112	140	63	63	194	8	2	524288
66	20	157	32	172	195	180	133	197	170	3	49	219	82	36	8	2	0
68	210	140	51	156	143	180	254	23	170	40	140	219	98	36	127	2	2048
66	20	124	110	172	94	75	133	123	230	112	49	170	63	194	65	2	8
68	210	140	104	97	143	138	73	197	170	132	49	169	75	24	8	2	0
6	123	124	104	154	94	180	254	220	230	9	154	219	75	36	127	2	0
97	20	140	51	97	54	105	226	23	86	40	140	170	82	36	127	2	524297
228	210	157	65	24	70	138	254	197	230	9	140	63	98	27	8	2	2048
97	208	195	104	24	195	75	133	123	38	112	49	63	82	36	127	2	0
6	20	195	65	97	70	13	73	197	170	132	154	63	11	96	65	2	4194304
228	208	175	117	172	147	160	89	83	31	9	247	63	70	27	99	2	0
6	179	124	110	97	106	235	254	152	170	112	154	63	11	68	99	2	0
6	20	124	110	154	147	178	254	123	86	147	247	167	70	40	154	2	0
80	250	175	104	97	241	13	254	83	38	9	247	167	63	194	65	2	0
