188	13	151	193	146	168	23	14	192	77	11
189	28	13	193	101	193	13	243	130	242	10
242	183	151	115	124	193	156	35	192	242	9
188	183	243	11	146	146	94	214	192	77	11
189	13	243	171	221	249	156	214	228	254	12
207	157	83	103	28	23	13	70	130	242	12
145	72	192	208	28	146	13	214	205	254	12
250	224	243	63	124	146	94	53	228	236	11
144	72	192	103	28	146	247	14	192	89	11
253	72	75	13	28	228	106	214	191	15	10
145	129	243	63	229	30	247	214	149	236	10
189	129	173	193	190	220	247	14	130	242	11
253	142	83	171	11	193	13	14	192	15	11
145	22	75	11	28	193	247	70	10	67	12
253	142	75	104	229	220	247	71	10	99	11
188	129	173	122	124	228	23	13	164	254	11
82	72	223	193	124	8	23	188	149	15	9
242	72	13	103	28	43	1	243	205	144	11
217	13	13	13	146	43	13	70	130	242	11
253	22	223	63	221	193	40	70	149	236	11
242	183	200	193	124	220	23	214	10	15	9
189	224	13	115	124	168	247	214	228	242	11
217	183	75	11	124	228	247	243	193	144	10
144	142	192	193	101	23	247	70	130	99	10
217	183	13	11	146	249	94	70	205	89	9
82	129	243	115	101	43	1	188	164	99	11
188	142	223	63	49	43	176	71	192	144	10
217	129	13	104	146	168	247	71	164	242	11
189	22	151	11	49	228	106	53	164	89	11
145	129	13	63	101	249	1	53	192	89	11
253	183	75	13	101	249	94	35	164	99	11
242	28	83	63	101	23	247	243	149	67	9
207	183	200	11	28	228	40	243	205	242	11
250	28	13	63	221	193	80	70	130	144	10
207	183	173	11	146	43	13	214	228	89	11
217	224	192	103	124	30	1	188	10	246	11
253	72	173	104	124	8	40	14	149	236	11
145	183	190	208	146	193	156	71	164	89	11
217	129	151	103	11	193	1	243	164	246	11
250	157	75	103	11	193	80	71	130	254	11
217	224	200	104	28	228	80	71	205	77	10
207	129	223	63	101	193	23	71	192	242	10
242	157	243	63	101	220	156	214	191	89	11
144	13	83	11	11	43	23	53	228	144	11
189	22	200	115	221	30	23	70	205	77	9
188	129	223	171	101	8	40	243	191	77	12
188	22	200	122	49	8	13	188	228	242	11
188	142	223	171	28	43	94	53	205	89	11
145	142	190	115	101	249	80	70	10	99	9
250	28	173	193	229	193	40	53	228	144	11
217	28	151	115	11	30	156	243	192	144	11
189	22	13	171	28	43	40	214	10	246	10
242	22	75	63	101	249	94	214	164	15	11
82	157	200	208	229	193	247	71	149	242	11
189	157	13	115	124	43	40	243	10	67	10
144	224	190	208	124	193	40	71	164	254	10
242	72	192	115	101	43	156	35	149	254	10
144	176	13	103	101	228	156	214	164	236	11
250	22	200	208	49	8	176	14	149	144	12
189	28	173	104	124	146	40	243	205	242	11
250	129	190	11	101	193	13	188	193	242	10
82	142	223	208	190	193	40	53	192	246	10
189	22	190	13	221	30	106	71	164	15	10
188	129	200	63	101	30	176	53	164	89	12
82	72	200	11	28	220	23	70	130	236	10
207	13	223	171	49	23	156	188	193	67	10
82	129	192	193	229	220	40	53	149	15	11
207	13	75	115	221	8	176	35	228	15	11
217	129	243	208	221	30	1	243	228	67	11
144	183	173	122	28	228	80	188	130	99	11
207	183	223	13	101	168	80	35	191	246	10
207	224	200	103	146	8	13	214	10	236	10
207	129	83	13	49	8	13	243	192	144	10
82	176	243	171	28	146	1	70	193	246	11
242	142	173	171	221	8	80	53	164	242	11
207	224	190	122	146	193	247	243	10	254	11
145	13	75	193	11	8	94	243	149	89	10
242	22	151	193	229	23	247	13	10	15	10
217	157	192	13	101	228	176	71	164	15	10
217	176	83	63	49	193	176	214	149	77	12
145	28	75	11	229	220	106	188	192	144	12
217	183	83	193	221	146	106	35	193	246	11
145	28	190	171	101	193	80	13	191	15	10
144	183	75	11	229	43	106	14	149	77	10
253	183	83	193	221	146	1	13	191	15	11
82	13	200	193	101	168	106	214	10	144	11
217	28	83	193	221	43	1	188	228	236	9
188	22	151	104	221	43	94	214	130	89	10
144	72	190	103	221	146	156	13	205	144	10
217	142	192	103	101	30	40	243	205	242	10
217	176	243	11	146	168	40	71	191	99	11
217	224	13	13	28	23	106	14	164	15	10
